,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year
Country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Afghanistan,12,57,57,57,60,60,56,52,52,46,42,39,32,28,24,21,17,16,,
Bahrain,1005,1099,1099,1099,1129,1101,1066,971,805,796,785,758,693,591,570,550,567,503,485,486
Djibouti,70,70,70,70,82,72,67,71,68,55,55,54,50,47,41,40,46,40,31,32
Egypt,131,131,131,131,157,154,140,143,123,111,105,96,78,70,63,53,53,67,72,73
Iran,475,415,415,415,375,383,414,519,525,441,368,299,246,198,173,141,115,105,94,80
Iraq,151,153,153,153,154,187,195,179,163,145,163,130,97,57,54,54,28,,,
Jordan,233,224,224,224,257,302,293,309,318,309,332,296,229,204,195,186,172,175,171,160
Kuwait,1068,1068,1068,1068,1169,1375,1251,1319,1264,1061,1455,1074,977,963,844,742,713,635,597,463
Lebanon,936,662,662,662,661,680,677,714,712,659,593,554,520,470,407,438,456,496,546,570
Libya,,,,,,,,,313,401,356,322,276,235,212,202,190,181,254,245
Morocco,171,171,171,171,157,182,180,169,177,169,170,155,137,110,97,93,79,63,56,54
Occupied Palestinian territory,1572,329,317,305,282,271,305,312,306,283,259,248,195,184,169,165,135,129,128,137
Oman,588,648,648,648,706,722,593,564,535,529,475,444,383,333,320,301,288,274,261,264
Pakistan,41,40,40,40,38,37,32,28,28,27,25,27,30,26,21,16,15,16,14,16
Qatar,1827,1827,1827,1827,2056,2104,1833,1548,1375,1258,1321,1328,1322,1328,1323,1286,1206,737,658,602
Saudi Arabia,1147,1147,1147,1147,1244,1285,1113,1017,882,703,691,595,586,554,469,399,381,368,386,384
Somalia,,,,,,,,,,,,,,,,,,,,
Sudan,152,152,152,152,158,116,123,100,122,109,111,107,104,70,47,37,28,21,19,17
Syrian Arab Republic,,,,,,,,66,83,94,92,88,76,66,64,62,61,64,58,54
Tunisia,257,257,257,257,268,291,288,273,274,244,234,233,205,181,172,170,151,126,115,112
United Arab Emirates,1682,1323,1323,1323,1402,1613,1556,1442,1484,1359,1339,1340,1095,985,915,890,879,851,772,782
Yemen,,,,,72,80,78,74,64,68,65,69,58,50,42,38,35,27,26,25
