,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,*Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Afghanistan,,,,,,,,,,25,,,6,,
Bahrain,10,,10,,10.2,10.3,,,8.3,,2,,,,
Djibouti,,,,,,,,,29.8,,29.8,,,,
Egypt,7,,,,,7,,,9.5,,,6,,,
Iran,8.3,,8.3,,,7.9,,8.6,7,,,,7.7,,
Iraq,8.2,8.2,,8.7,7.1,,6.3,,14.8,,,13,,,
Jordan,10.9,,10.9,,17,17,,,13,,7,,,,
Kuwait,11,,11,11.6,11.8,,,,7,,7.8,,,,
Lebanon,10.3,10.3,8.6,9,8.8,9.5,,,11.5,7.7,,,,,
Libya,,,,,,,,7.1,7.1,,,,,4,
Morocco,10.8,,,,10.8,,,,15.4,,,8.1,,,
Occupied Palestinian territory,6.7,6.7,10,7.1,6.3,6.4,,5.7,8.3,9.4,,,,,
Oman,12,12,12.1,12.7,,11.6,,,9.7,12,,,,,
Pakistan,22,,,,22,32,,,32,25,,,,,
Qatar,9.7,9.7,8.9,8.3,,9.4,10,10.3,,5.3,,,,,
Saudi Arabia,8.5,,8.5,,8.5,8.7,9,,11,9.1,,,,,
Somalia,,,,,,,,,,,,8.3,,,5
Sudan,32.3,32.3,,,,32.3,,,32.3,,,31,,,
Syrian Arab Republic,12.3,12.3,,4.9,,,,,9.4,,,,,10.3,
Tunisia,7,,,,7,,7.5,,6.9,,6.9,,,,
United Arab Emirates,11.2,,11.2,11.8,12.7,10.8,10.9,,6.1,,,,3.2,,
Yemen,,,,,,,,,,16.3,,45,32,,
