,Reference year,Reference year,Reference year,Reference year,Reference year,Reference year,Reference year,Reference year,Reference year,Reference year,Reference year,Reference year,Reference year,Reference year
Country,*Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Afghanistan,5.2,,,5.2,3.2,3.2,,,3.2,,3.6,,,
Bahrain,45.4,,,,,45.4,,48.3,50.1,52.1,51.3,,,
Djibouti,,,,,,,,,,,,,5.1,
Egypt,15.5,,,,15.5,,14.5,15,14.8,14.3,,,,
Iran,21.3,,,,21.3,,18.7,18.7,,15.7,,,,
Iraq,25.8,,25.8,22.5,21.2,17.3,19.4,,17.8,19.5,,,,
Jordan,31.1,31.1,29.8,32.8,33.2,32.7,18.9,20.7,31.7,48.6,,,,
Kuwait,70.7,,70.7,66,67.2,,,,65,,56,,,
Lebanon,31,,31,38.6,37.4,36.4,34.2,33,33,33.1,,,,
Libya,46.4,,46.4,,68.8,67,,,,71,67,,,
Morocco,9.7,9.7,9.3,8.8,,8.5,,,,8.9,,,,
Occupied Palestinian territory,30.8,30.8,30,29.6,25.9,25.7,22.9,22.3,25.3,25,,,,
Oman,43.9,43.9,43.7,44,44,43.7,44.8,46.3,47.1,45.7,,,,
Pakistan,5.2,5.2,4.9,,4.9,5.1,,4.9,,,,6,,
Qatar,86.4,86.4,,81,73.2,58.8,,,58,61.8,58.1,,,
Saudi Arabia,59.1,59.1,56.2,58.2,55.2,57,57,54.7,53.7,103,,,,
Somalia,4.3,,4.3,,,,,,,,,,,0.8
Sudan,34.1,,,34.1,33.5,7.9,,8.3,,9.5,,,,
Syrian Arab Republic,17,17,16.2,16,14,14.4,14.6,,19.8,,19.2,,,
Tunisia,24.1,,,,24.1,38.9,,40.9,,,,32.5,,
United Arab Emirates,63.6,,63.6,59.1,,57.9,56.8,50.4,,,33.6,,,
Yemen,6.3,,6.3,,6.3,,,,7.3,7.2,,,,
