,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,*Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan,4,,,4,15.3,,,,,,,,
Bahrain,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,
Egypt,13.6,,,,,,13.6,7.2,,,,,
Iran,1.3,,,1.3,,1.3,1.1,1.1,,,,,
Iraq,5.2,5.2,,,,3.3,,,3.5,0.1,,,
Jordan,19.6,19.6,,6.4,,,6.4,,8.6,,,,
Kuwait,0.6,,,,0.6,,,,0.6,,,,
Lebanon,,,,,,,,,,,,,
Libya,0.8,,,,,0.8,,,,,,,
Morocco,0.5,,,0.5,,,,,,,,,
Occupied Palestinian territory,12.7,12.7,7.9,,8.2,,,,,,,,
Oman,0.6,,,0.6,,,0.6,,,,3,,
Pakistan,2.3,2.3,2.1,,,1.5,,,,,,,1.3
Qatar,1.2,,1.2,,,1.9,,,,,2,2.1,
Saudi Arabia,7.7,7.7,6.3,,4,4.3,,3.8,,2.3,,2.3,
Somalia,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,
Syrian Arab Republic,9.3,9.3,,,,5.3,0.4,,,,,,1
Tunisia,,,,,,,,,,,,,
United Arab Emirates,5.4,,,5.4,,4.1,,,4.4,4.4,,,
Yemen,,,,,,,,,,,,,
