Year,Afghanistan,Bahrain,Djibouti,Egypt,Iran,Iraq,Jordan,Kuwait,Lebanon,Libya,Morocco,Occupied Palestinian territory,Oman,Pakistan,Qatar,Saudi Arabia,Somalia,Sudan,Syrian Arab Republic,Tunisia,United Arab Emirates,Yemen
2023.0,28.0,,,12.0,5.3,10.3,19.8,1.7,,,3.8,7.8,0.7,7.0,1.3,12.0,,1.0,17.6,,4.5,
2021.0,28.0,,,12.0,5.3,10.3,19.8,1.7,,,3.8,7.8,0.7,7.0,1.3,12.0,,1.0,17.6,,4.5,
2020.0,28.0,,,12.0,5.3,9.4,10.2,1.7,,,3.8,7.5,0.7,6.5,1.3,6.0,,1.0,3.4,,4.5,
2019.0,28.0,,,12.0,5.3,9.4,10.2,1.7,,,3.8,16.8,0.7,7.5,1.8,6.3,,1.0,3.4,,4.4,
2018.0,66.3,,,12.0,5.3,9.4,10.2,1.7,,,2.8,14.6,7.2,7.5,1.8,6.3,,1.0,3.4,,4.8,
2017.0,,,,12.0,5.3,9.4,10.2,2.2,,,2.8,,0.8,7.5,1.8,6.9,,1.0,3.4,,4.8,
2016.0,,,,12.0,3.9,4.9,10.2,2.2,,,,,0.8,6.0,2.0,7.7,,1.0,3.2,,8.4,
2015.0,,,,11.1,4.6,4.9,14.4,2.2,,,,,5.3,6.0,2.0,7.7,,1.0,2.0,,8.4,
2014.0,,,,,,4.9,14.4,2.2,,,,,5.3,6.0,2.0,6.1,,1.0,2.0,,8.4,
2013.0,,,,,,0.5,,,,,,,5.3,6.0,2.0,6.1,,,2.0,,8.4,
2012.0,,,,,,,,,,,,,5.3,6.0,2.0,6.1,,,2.0,,,
2011.0,,,,,,,,,,,,,,6.0,2.1,6.1,,,2.0,,,
2010.0,,,,,,,,,,,,,,5.5,,,,,2.0,,,
