,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year,Reference Year
Country,*Most recent data,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Afghanistan,25,25,25,24,24,,24,24,24,24,,,,
Bahrain,100,100,100,100,100,100,100,100,100,100,,,,
Djibouti,24,24,24,24,,,,,,,,,,84
Egypt,43,43,,,42,42,43,43,43,,43,,,
Iran,74,,74,70,74,74,74,73,73,72,,,,
Iraq,70,70,70,70,70,70,70,70,70,69,,,,
Jordan,90,90,90,90,90,90,90,,83,83,,,,
Kuwait,100,100,,100,100,100,100,100,100,100,,,,
Lebanon,,,,,,,,,,,,85,,
Libya,85,85,85,85,85,85,88,88,88,86,,,,
Morocco,64,64,63,63,62,62,61,60,60,59,,,,
Occupied Palestinian territory,77,77,77,86,85,85,83,83,74,73,,,75,
Oman,,,,,,,,,,,,,,
Pakistan,37,37,37,37,36,36,,38,,38,,,,
Qatar,100,100,100,100,100,100,100,100,100,100,,,,
Saudi Arabia,86,,,86,83,83,83,83,83,,83,,,
Somalia,51,,51,,42,42,42,42,,,,,,37
Sudan,31,,31,31,31,31,31,31,33,,30,,,
Syrian Arab Republic,,,,,,,,,54,,54,,,
Tunisia,70,70,70,68,68,68,68,68,,,66,,,
United Arab Emirates,84,,,84,84,84,84,84,84,,,,,
Yemen,31,,31,,29,29,,,,29,,,,
